codigo_dealer,concesionario,grupo_propietario,vende_bmw,vende_mini
100002,BERTOLÍN,Grupo Bertolín,Si,Si
100015,GRÜNBLAU MOTOR,Grupo Resnova,Si,Si
100062,FERSÁN,Grupo Benigar,Si,Si
100120,AUTOGAL,Autogal,Si,Si
100146,LUGAUTO,Grupo Agrelo,Si,Si
100155,AUTOSA,Grupo Autosa,Si,Si
100190,BURGOCAR,Grupo Resnova,Si,Si
100206,HISPAMÓVIL,Grupo Benigar,Si,Si
100213,MOVILNORTE,Grupo Momentum,Si,Si
100304,NOVOMÓVIL,Grupo Agrelo,Si,Si
100307,AVILCAR,Grupo Hidalgo,Si,Si
100311,ENGASA,Grupo Marcos,Si,Si
100319,VEHINTER,Grupo Momentum,Si,Si
100323,CAETANO CUZCO,Grupo Caetano,Si,Si
100344,SAN PABLO MOTOR,Grupo Syrsa,Si,Si
100346,AMIOCAR,Grupo Agrelo,Si,Si
100348,AUGUSTA ARAGÓN,Grupo Augusta,Si,Si
100349,AUTO PREMIER,Grupo Momentum,Si,Si
100379,TRIOCAR,Grupo Resnova,Si,Si
100380,CERES MOTOR,Grupo Colmenar,Si,Si
100389,CANAAUTO,Canaauto,Si,Si
100393,MURCIA PREMIUM,Grupo Marcos,Si,Si
100394,MABERAUTO,Grupo Bertolín,Si,Si
100410,CELTAMOTOR,Grupo Resnova,Si,Si
100418,FUENTEOLID,Grupo Hidalgo,Si,Si
100422,SAN RAFAEL MOTOR,Grupo Syrsa,Si,Si
100454,AUTORAM,Autoram,Si,No
100468,MÓVIL BEGAR,Grupo Benigar,Si,Si
100549,CARTEYA MOTOR,Grupo Syrsa,Si,Si
100571,TORMES MOTOR,Grupo Autosa,Si,Si
100572,BARCELONA PREMIUM,Grupo Caetano,Si,Si
100584,PRUNA MOTOR,Pruna,Si,No
100585,CABRERO MOTORSP.,Grupo Cabrero,Si,Si
100586,AUTOMOTOR,Grupo SAFA,Si,Si
100589,ILBIRA MOTOR,Grupo Syrsa,Si,Si
100597,AUTOBERÓN,Grupo Augusta,Si,No
100726,ENEKURI MOTOR,Enekuri,Si,Si
100727,UNICARS PONENT,Unicars,Si,Si
100728,OLIVA MOTOR,Grupo Oliva,Si,Si
100730,ADLER MOTOR,Grupo Colmenar,Si,Si
100734,PROA PREMIUM,Grupo Proa,Si,Si
100738,MARMOTOR,Marmotor,Si,Si
100739,BERNESGA MOTOR,Grupo Resnova,Si,Si
100764,ALBAMOCION,Grupo Fam. Martinez,Si,Si
100765,LIZAGA MOTOR,Martín Lizaga,Si,No
100813,AUTOMOTOR COSTA,Grupo SAFA,Si,Si
100817,OLIVA MOTOR GIRONA,Grupo Oliva,Si,Si
100819,MOTRI MOTOR,Grupo Syrsa,Si,Si
100873,BYMYCAR MADRID,Grupo BYmyCAR,Si,Si
100881,MOVITRANSA,Movitransa,Si,Si
100909,QUADIS MUNICH,Grupo Altrac,Si,Si
100917,MOMENTUM NORTE,Grupo Momentum,Si,Si
