codigo_dealer,marca,metrica,mes,valor
100323,BMW,Retail,ENERO,38.0
100323,BMW,Retail,FEBRERO,38.0
100323,BMW,Retail,MARZO,39.0
100323,BMW,Retail,ABRIL,38.0
100323,BMW,Retail,MAYO,38.0
100323,BMW,Retail,JUNIO,39.0
100323,BMW,Retail,JULIO,0.0
100323,BMW,Retail,AGOSTO,0.0
100323,BMW,Retail,SEPTIEMBRE,0.0
100323,BMW,Retail,OCTUBRE,0.0
100323,BMW,Retail,NOVIEMBRE,0.0
100323,BMW,Retail,DICIEMBRE,0.0
100873,BMW,Retail,ENERO,41.0
100873,BMW,Retail,FEBRERO,42.0
100873,BMW,Retail,MARZO,42.0
100873,BMW,Retail,ABRIL,41.0
100873,BMW,Retail,MAYO,42.0
100873,BMW,Retail,JUNIO,42.0
100873,BMW,Retail,JULIO,0.0
100873,BMW,Retail,AGOSTO,0.0
100873,BMW,Retail,SEPTIEMBRE,0.0
100873,BMW,Retail,OCTUBRE,0.0
100873,BMW,Retail,NOVIEMBRE,0.0
100873,BMW,Retail,DICIEMBRE,0.0
100389,BMW,Retail,ENERO,22.0
100389,BMW,Retail,FEBRERO,22.0
100389,BMW,Retail,MARZO,22.0
100389,BMW,Retail,ABRIL,22.0
100389,BMW,Retail,MAYO,22.0
100389,BMW,Retail,JUNIO,22.0
100389,BMW,Retail,JULIO,0.0
100389,BMW,Retail,AGOSTO,0.0
100389,BMW,Retail,SEPTIEMBRE,0.0
100389,BMW,Retail,OCTUBRE,0.0
100389,BMW,Retail,NOVIEMBRE,0.0
100389,BMW,Retail,DICIEMBRE,0.0
100738,BMW,Retail,ENERO,18.0
100738,BMW,Retail,FEBRERO,19.0
100738,BMW,Retail,MARZO,19.0
100738,BMW,Retail,ABRIL,18.0
100738,BMW,Retail,MAYO,19.0
100738,BMW,Retail,JUNIO,19.0
100738,BMW,Retail,JULIO,0.0
100738,BMW,Retail,AGOSTO,0.0
100738,BMW,Retail,SEPTIEMBRE,0.0
100738,BMW,Retail,OCTUBRE,0.0
100738,BMW,Retail,NOVIEMBRE,0.0
100738,BMW,Retail,DICIEMBRE,0.0
100213,BMW,Retail,ENERO,46.0
100213,BMW,Retail,FEBRERO,47.0
100213,BMW,Retail,MARZO,47.0
100213,BMW,Retail,ABRIL,46.0
100213,BMW,Retail,MAYO,47.0
100213,BMW,Retail,JUNIO,47.0
100213,BMW,Retail,JULIO,0.0
100213,BMW,Retail,AGOSTO,0.0
100213,BMW,Retail,SEPTIEMBRE,0.0
100213,BMW,Retail,OCTUBRE,0.0
100213,BMW,Retail,NOVIEMBRE,0.0
100213,BMW,Retail,DICIEMBRE,0.0
100319,BMW,Retail,ENERO,47.0
100319,BMW,Retail,FEBRERO,49.0
100319,BMW,Retail,MARZO,49.0
100319,BMW,Retail,ABRIL,47.0
100319,BMW,Retail,MAYO,49.0
100319,BMW,Retail,JUNIO,49.0
100319,BMW,Retail,JULIO,0.0
100319,BMW,Retail,AGOSTO,0.0
100319,BMW,Retail,SEPTIEMBRE,0.0
100319,BMW,Retail,OCTUBRE,0.0
100319,BMW,Retail,NOVIEMBRE,0.0
100319,BMW,Retail,DICIEMBRE,0.0
100349,BMW,Retail,ENERO,41.0
100349,BMW,Retail,FEBRERO,41.0
100349,BMW,Retail,MARZO,43.0
100349,BMW,Retail,ABRIL,41.0
100349,BMW,Retail,MAYO,41.0
100349,BMW,Retail,JUNIO,43.0
100349,BMW,Retail,JULIO,0.0
100349,BMW,Retail,AGOSTO,0.0
100349,BMW,Retail,SEPTIEMBRE,0.0
100349,BMW,Retail,OCTUBRE,0.0
100349,BMW,Retail,NOVIEMBRE,0.0
100349,BMW,Retail,DICIEMBRE,0.0
100917,BMW,Retail,ENERO,1.0
100917,BMW,Retail,FEBRERO,1.0
100917,BMW,Retail,MARZO,18.0
100917,BMW,Retail,ABRIL,20.0
100917,BMW,Retail,MAYO,30.0
100917,BMW,Retail,JUNIO,30.0
100917,BMW,Retail,JULIO,0.0
100917,BMW,Retail,AGOSTO,0.0
100917,BMW,Retail,SEPTIEMBRE,0.0
100917,BMW,Retail,OCTUBRE,0.0
100917,BMW,Retail,NOVIEMBRE,0.0
100917,BMW,Retail,DICIEMBRE,0.0
100726,BMW,Retail,ENERO,11.0
100726,BMW,Retail,FEBRERO,12.0
100726,BMW,Retail,MARZO,12.0
100726,BMW,Retail,ABRIL,11.0
100726,BMW,Retail,MAYO,12.0
100726,BMW,Retail,JUNIO,12.0
100726,BMW,Retail,JULIO,0.0
100726,BMW,Retail,AGOSTO,0.0
100726,BMW,Retail,SEPTIEMBRE,0.0
100726,BMW,Retail,OCTUBRE,0.0
100726,BMW,Retail,NOVIEMBRE,0.0
100726,BMW,Retail,DICIEMBRE,0.0
100307,BMW,Retail,ENERO,7.0
100307,BMW,Retail,FEBRERO,7.0
100307,BMW,Retail,MARZO,7.0
100307,BMW,Retail,ABRIL,8.0
100307,BMW,Retail,MAYO,8.0
100307,BMW,Retail,JUNIO,8.0
100307,BMW,Retail,JULIO,0.0
100307,BMW,Retail,AGOSTO,0.0
100307,BMW,Retail,SEPTIEMBRE,0.0
100307,BMW,Retail,OCTUBRE,0.0
100307,BMW,Retail,NOVIEMBRE,0.0
100307,BMW,Retail,DICIEMBRE,0.0
100380,BMW,Retail,ENERO,22.0
100380,BMW,Retail,FEBRERO,22.0
100380,BMW,Retail,MARZO,22.0
100380,BMW,Retail,ABRIL,23.0
100380,BMW,Retail,MAYO,23.0
100380,BMW,Retail,JUNIO,23.0
100380,BMW,Retail,JULIO,0.0
100380,BMW,Retail,AGOSTO,0.0
100380,BMW,Retail,SEPTIEMBRE,0.0
100380,BMW,Retail,OCTUBRE,0.0
100380,BMW,Retail,NOVIEMBRE,0.0
100380,BMW,Retail,DICIEMBRE,0.0
100418,BMW,Retail,ENERO,11.0
100418,BMW,Retail,FEBRERO,11.0
100418,BMW,Retail,MARZO,11.0
100418,BMW,Retail,ABRIL,11.0
100418,BMW,Retail,MAYO,12.0
100418,BMW,Retail,JUNIO,12.0
100418,BMW,Retail,JULIO,0.0
100418,BMW,Retail,AGOSTO,0.0
100418,BMW,Retail,SEPTIEMBRE,0.0
100418,BMW,Retail,OCTUBRE,0.0
100418,BMW,Retail,NOVIEMBRE,0.0
100418,BMW,Retail,DICIEMBRE,0.0
100730,BMW,Retail,ENERO,18.0
100730,BMW,Retail,FEBRERO,18.0
100730,BMW,Retail,MARZO,18.0
100730,BMW,Retail,ABRIL,18.0
100730,BMW,Retail,MAYO,18.0
100730,BMW,Retail,JUNIO,19.0
100730,BMW,Retail,JULIO,0.0
100730,BMW,Retail,AGOSTO,0.0
100730,BMW,Retail,SEPTIEMBRE,0.0
100730,BMW,Retail,OCTUBRE,0.0
100730,BMW,Retail,NOVIEMBRE,0.0
100730,BMW,Retail,DICIEMBRE,0.0
100764,BMW,Retail,ENERO,19.0
100764,BMW,Retail,FEBRERO,19.0
100764,BMW,Retail,MARZO,19.0
100764,BMW,Retail,ABRIL,20.0
100764,BMW,Retail,MAYO,20.0
100764,BMW,Retail,JUNIO,20.0
100764,BMW,Retail,JULIO,0.0
100764,BMW,Retail,AGOSTO,0.0
100764,BMW,Retail,SEPTIEMBRE,0.0
100764,BMW,Retail,OCTUBRE,0.0
100764,BMW,Retail,NOVIEMBRE,0.0
100764,BMW,Retail,DICIEMBRE,0.0
100120,BMW,Retail,ENERO,7.0
100120,BMW,Retail,FEBRERO,7.0
100120,BMW,Retail,MARZO,7.0
100120,BMW,Retail,ABRIL,7.0
